ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
G,2003,2,mehrfarbig,295 g/km,2,4,12.3 l/100km,5439,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",Black,Hinterradantrieb,Automat,92300,367,Cabriolet,Benzin,Zuzwil,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,MERCEDES-BENZ CLK 55 AMG Avantgarde,5f35f87f-48c6-41c2-84d6-d28a61e0e1b4,12.3,l/100km
G,2003,2,schwarz,340 g/km,7,2,14.2 l/100km,5439,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automat,43300,500,Cabriolet,Benzin,Zuzwil,Mercedes-Benz,SL 55 AMG,SL 55 AMG,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,90f7b343-09bd-47ea-9cce-ab4aac39dffd,14.2,l/100km
null,1995,2,braun,null,6,4,null,5984,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automat,62000,394,Coupé,Benzin,Zuzwil,Mercedes-Benz,S 600,S 600,S 600,MERCEDES-BENZ S 600,13c04801-febc-444a-8309-ab2e80dd6e8f,null,null
null,1979,2,null,null,8,4,null,0,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Schaltgetriebe,36900,150,Coupé,Benzin,Zuzwil,Renault,ALPINE,ALPINE 2700VA,2700VA,RENAULT ALPINE 2700VA,b78984dc-577e-4b74-bbbc-6e79960a4907,null,null
null,1992,3,schwarz,null,1,0,null,1997,Occasion,"""Ab MFK""",Black,Allrad,Schaltgetriebe,98000,250,Limousine,null,Zuzwil,Nissan,SUNNY,SUNNY 2.0 16V GTI-R Rallye,2.0 16V GTI-R Rallye,NISSAN SUNNY 2.0 16V GTI-R Rallye,b21acef4-bf1e-493e-a946-4aa18ce52ca9,null,null
null,1972,2,schwarz,null,2,4,null,1961,Occasion,null,Black,Hinterradantrieb,Schaltgetriebe,18400,130,Coupé,Benzin,Zuzwil,Alfa Romeo,GTV,GTV 2000 Bertone,2000 Bertone,ALFA ROMEO GTV 2000 Bertone,6c3eeb98-d54c-4f51-91ba-50b0949966dd,null,null
null,1991,2,schwarz,null,9,2,null,4971,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automat,55300,320,Cabriolet,Benzin,Zuzwil,Mercedes-Benz,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,109d0004-98b1-4070-a4bd-d7d9902e1f43,null,null
G,2011,2,schwarz,325 g/km,1,2,13.7 l/100km,5204,Occasion,"""Ab MFK""",Black,Allrad,Automatisiertes Schaltgetriebe,19300,570,Coupé,Benzin,Zuzwil,Lamborghini,GALLARDO,Gallardo LP570-4 Coupé SL,Gallardo LP570-4 Coupé SL,LAMBORGHINI Gallardo LP570-4 Coupé SL,0950de5b-8946-496f-8fbc-f934526eb762,13.7,l/100km
D,2005,3,anthrazit,138 g/km,8,5,5.1 l/100km,1896,Occasion,"""Ab MFK""",Black,Vorderradantrieb,Schaltgetriebe manuell,132200,130,Kleinwagen,Diesel,Zuzwil,SEAT,IBIZA,Ibiza 1.9 TDI FR,Ibiza 1.9 TDI FR,SEAT Ibiza 1.9 TDI FR,f56d5490-318b-4c5d-a1e3-585ac1a0eb0b,5.1,l/100km
null,1999,4,anthrazit,236 g/km,5,5,9.9 l/100km,1948,Occasion,"""Ab MFK""",Black,Vorderradantrieb,Automat,107000,160,Limousine,Benzin,Zuzwil,Volvo,S40,S40 2.0 T,S40 2.0 T,VOLVO S40 2.0 T,61820bdb-2015-48eb-98f4-b22d5169a2c0,9.9,l/100km
G,2004,4,schwarz,290 g/km,12,4,12.1 l/100km,4966,Occasion,"""Ab MFK""",Blue,Hinterradantrieb,Automat sequentiell,51000,306,Limousine,Benzin,Zuzwil,Mercedes-Benz,CLS 500,CLS 500,CLS 500,MERCEDES-BENZ CLS 500,11ca4c6b-cc23-420f-ae27-8b529540c524,12.1,l/100km
G,2010,2,schwarz,332 g/km,4,2,14.2 l/100km,5204,Occasion,"""Ab MFK""",Black,Allrad,Automatisiertes Schaltgetriebe,37000,525,Cabriolet,Benzin,Zuzwil,Audi,R8,R8 Spyder 5.2,R8 Spyder 5.2,AUDI R8 Spyder 5.2,e1302787-a7e1-4783-a5f2-a5fa79476c6b,14.2,l/100km
null,1991,4,grau,null,7,5,null,4971,Occasion,"""Ab MFK""",Black,Hinterradantrieb,Automat,156300,320,Limousine,Benzin,Zuzwil,Mercedes-Benz,500,500 SE,500 SE,MERCEDES-BENZ 500 SE,bf6ffb88-072e-4c95-9a52-414d98ed7832,null,null
