ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id
null,2000,2,schwarz,388 g/km,3,4,15.6 l/100km,3217,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Automatik-Getriebe,64600,370,Coupé,Benzin,Zuzwil,MASERATI,3200 GT,3200 GT,3200 GT,MASERATI 3200 GT,73a1e91a-8e0e-4271-a774-61e48ced3c2a
G,2001,4,beige,253 g/km,4,5,9.6 l/100km,3996,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Automat,42000,250,Limousine,Diesel,Zuzwil,MERCEDES-BENZ,S 400,S 400 CDI,S 400 CDI,MERCEDES-BENZ S 400 CDI,4b4a9509-498c-408f-9f44-e01a3de5f21b
G,1999,2,null,495 g/km,5,4,22.0 l/100km,5474,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Schaltgetriebe manuell,49000,442,Coupé,Benzin,Zuzwil,FERRARI,456,456M GT,456M GT,FERRARI 456M GT,267cd74a-6f45-481a-98f2-b42e391a053c
null,2001,4,schwarz,341 g/km,8,5,14.2 l/100km,4172,Occasion,"""Ab MFK""",gelb,Allrad,Automatik-Getriebe,103100,340,Limousine,Benzin,Zuzwil,AUDI,S6,S6 quattro,S6 quattro,AUDI S6 quattro,490589bf-6403-4295-a448-534263d6183f
null,1991,4,schwarz,null,7,4,null,2461,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Schaltgetriebe manuell,89700,235,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,190,190 E 2.5-16 Evo II ABS,190 E 2.5-16 Evo II ABS,MERCEDES-BENZ 190 E 2.5-16 Evo II ABS,1415dbf6-9448-41dd-9a3c-a94fc77b3247
null,2001,5,null,195 g/km,8,5,8.1 l/100km,1991,Occasion,"""Ab MFK""",gelb,Vorderradantrieb,Automatik-Getriebe,158000,136,Limousine,Benzin,Zuzwil,MAZDA,626,626 2.0i-16V HPV,626 2.0i-16V HPV,MAZDA 626 2.0i-16V HPV,aa54cd81-ac2f-4394-b173-c5ffb77d880a
null,1985,4,blau,null,5,0,null,1994,Oldtimer,"""Ab MFK""",gelb,Vorderradantrieb,Automatik-Getriebe,58100,105,Limousine,Benzin,Safenwil,TOYOTA,CAMRY,CAMRY 2000 GLi Super Liftback,2000 GLi Super Liftback,TOYOTA CAMRY 2000 GLi Super Liftback,89c6db48-87a9-4389-9867-31195c0f6202
G,2006,5,schwarz,378 g/km,9,5,15.7 l/100km,4511,Occasion,"""Ab MFK""",gelb,Allrad,Automat,91600,521,SUV / Geländewagen,Benzin,Zuzwil,PORSCHE,CAYENNE,Cayenne Turbo S,Cayenne Turbo S,PORSCHE Cayenne Turbo S,8f3a385d-7292-4da8-ac42-efd824ae0da5
G,2003,5,schwarz,378 g/km,3,5,15.7 l/100km,4511,Occasion,"""Ab MFK""",anthrazit mét.,Allrad,Automat sequentiell,121000,450,SUV / Geländewagen,Benzin,Zuzwil,PORSCHE,CAYENNE,Cayenne Turbo,Cayenne Turbo,PORSCHE Cayenne Turbo,1d305fb9-ce85-4573-8484-3cedd6d9f42f
null,1993,2,grau,null,10,2,null,7986,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Schaltgetriebe manuell,28600,364,Cabriolet,Benzin,Zuzwil,CHRYSLER,VIPER,Viper RT/10,Viper RT/10,CHRYSLER Viper RT/10,fac646f8-6544-4ccc-bfeb-b33b7dbae18e
G,1999,4,schwarz,276 g/km,4,5,11.5 l/100km,3199,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Automat,128000,224,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,S 320,S 320,S 320,MERCEDES-BENZ S 320,350ff26c-fbb7-4834-a2ec-4e133cfb26da
null,1990,2,schwarz,null,12,2,null,1997,Occasion,"""Ab MFK""",gelb,Hinterradantrieb,Schaltgetriebe manuell,135800,156,Coupé,Benzin,Zuzwil,TOYOTA,MR2,MR2 2.0,MR2 2.0,TOYOTA MR2 2.0,54f4c2c5-0db0-4adb-994f-fca1c9d76e5b
null,1989,2,beige,null,1,2,null,4941,Occasion,null,gelb mét.,Hinterradantrieb,Schaltgetriebe manuell,31700,380,Coupé,Benzin,Zuzwil,FERRARI,TESTAR./512,Testarossa,Testarossa,FERRARI Testarossa,40c415ef-0d40-4e15-af87-c69ee3f41d0f
G,2010,2,schwarz,355 g/km,2,2,15.0 l/100km,6162,Occasion,"""Ab MFK""",gold,Hinterradantrieb,Schaltgetriebe manuell,13000,647,Coupé,Benzin,Zuzwil,CHEVROLET,CORVETTE,Corvette ZR1,Corvette ZR1,CHEVROLET Corvette ZR1,470e3acb-b8d3-4bc0-89ae-8c603d630076
G,2008,2,schwarz,293 g/km,7,4,12.3 l/100km,3999,Occasion,"""Ab MFK""",gold mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,78900,420,Cabriolet,Benzin,Zuzwil,BMW,M3,M3,M3,BMW M3,8a1a0a49-1179-4869-a7ec-2d9727830d35
null,1990,2,blau,null,1,2,null,3400,Occasion,"""Ab MFK""",gold mét.,null,null,46000,469,Coupé,Benzin,Zuzwil,RUF,,CTR,CTR,RUF CTR,1b7d7031-01fa-4daf-877b-6d441598ce43
null,1985,3,beige,null,5,2,null,1397,Occasion,null,gold mét.,Hinterradantrieb,Schaltgetriebe manuell,59900,160,Kleinwagen,Benzin,Zuzwil,RENAULT,R5,R5 Turbo 2,R5 Turbo 2,RENAULT R5 Turbo 2,9375010a-2c52-4b8a-b6be-1b974de199a0
null,1996,4,beige,null,1,5,null,3980,Occasion,"""Ab MFK""",gold mét.,Hinterradantrieb,Automat,94800,241,Limousine,Benzin,Zuzwil,DAIMLER,XJ,Six 4.0,Six 4.0,DAIMLER Six 4.0,5d006099-5567-432c-8a95-945dfd2f9363
null,1989,2,schwarz,null,8,2,null,2616,Occasion,"""Ab MFK""",grau,Hinterradantrieb,Schaltgetriebe manuell,67200,200,Cabriolet,Benzin,Zuzwil,MAZDA,RX-7,RX-7 2.6 Turbo II,RX-7 2.6 Turbo II,MAZDA RX-7 2.6 Turbo II,18c8b4dc-d33c-4bde-9126-58245d3ff3de
null,2008,2,anthrazit,null,7,2,null,7993,Occasion,null,anthrazit mét.,Allrad,Automatik-Getriebe,20000,1001,Coupé,Benzin,Sursee,BUGATTI,,Veyron 16.4,Veyron 16.4,BUGATTI Veyron 16.4,8f84a5c3-9378-4fdf-921c-44bab48aa77b
G,2001,2,schwarz,309 g/km,10,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",grau,Allrad,Schaltgetriebe manuell,25900,420,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,e4aa6b74-4e3a-47ea-8041-7e2dc3f0734a
G,2005,2,schwarz,270 g/km,6,2,11.2 l/100km,3596,Occasion,"""Ab MFK""",grau,Hinterradantrieb,Schaltgetriebe manuell,20400,325,Cabriolet,Benzin,Zuzwil,PORSCHE,911,911 Carrera Cabrio,911 Carrera Cabrio,PORSCHE 911 Carrera Cabrio,769e79a4-2ae3-4c7b-b8dc-957ae7436a5b
G,2002,4,beige,311 g/km,12,5,12.9 l/100km,4966,Occasion,"""Ab MFK""",grau,Allrad,Automat,54500,306,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,S 500,S 500 L 4Matic,S 500 L 4Matic,MERCEDES-BENZ S 500 L 4Matic,5834958d-a98b-47ef-9f0e-abb0152eb6d4
null,1998,2,null,null,8,2,null,3500,Occasion,null,grau,Allrad,Schaltgetriebe,4000,611,Coupé,Benzin,Zuzwil,BUGATTI,EB,EB 110 GT/SS,110 GT/SS,BUGATTI EB 110 GT/SS,bfc9bea3-2744-4a6c-9192-fac349628340
G,2008,5,null,333 g/km,10,5,14.0 l/100km,4991,Occasion,"""Ab MFK""",grau,Allrad,Automat sequentiell,41900,580,Kombi,Benzin,Zuzwil,AUDI,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,94fe135c-6c27-4e83-885d-413d39cf2d8a
null,2003,2,schwarz,499 g/km,12,2,21.8 l/100km,5748,Occasion,"""Ab MFK""",grau,Hinterradantrieb,Automatik-Getriebe,8100,517,Coupé,Benzin,Zuzwil,FERRARI,575M,575M,575M,FERRARI 575M,15722ea1-a4d8-4e5c-b657-6072babfa0c0
G,2003,5,schwarz,350 g/km,1,5,14.6 l/100km,4172,Occasion,"""Ab MFK""",grau,Allrad,Automat sequentiell,39000,450,Kombi,Benzin,Zuzwil,AUDI,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,7e6d2b5f-e089-43a2-b088-f39410a89361
G,2002,4,schwarz,314 g/km,7,5,12.5 l/100km,4196,Occasion,"""Ab MFK""",grau,Hinterradantrieb,Automat,32900,396,Limousine,Benzin,Zuzwil,JAGUAR,S-TYPE,S-Type 4.2 V8 S/C R,S-Type 4.2 V8 S/C R,JAGUAR S-Type 4.2 V8 S/C R,1dea6662-624d-44b1-ba0c-c55c338ee893
